planet_name,orbital_period_days,transit_midpoint_bjd,transit_duration_hrs,transit_depth_ppm,planet_radius_earth,equilibrium_temp_k,insolation_earthflux,stellar_teff_k,stellar_radius_sun,stellar_logg_cgs,ra_deg,dec_deg,source
K00752.01,9.48803557,170.53875,2.9575,615.8,2.26,793.0,93.59,5455.0,0.927,4.467,291.93423,48.141651,Kepler
K00752.02,54.4183827,162.51384,4.507,874.8,2.83,443.0,9.11,5455.0,0.927,4.467,291.93423,48.141651,Kepler
K00753.01,19.89913995,175.850252,1.7822,10829.0,14.6,638.0,39.3,5853.0,0.868,4.544,297.00482,48.134129,Kepler
K00754.01,1.736952453,170.307565,2.40641,8079.2,33.46,1395.0,891.96,5805.0,0.791,4.564,285.53461,48.28521,Kepler
K00755.01,2.525591777,171.59555,1.6545,603.3,2.75,1406.0,926.16,6031.0,1.046,4.438,288.75488,48.2262,Kepler
K00756.01,11.09432054,171.20116,4.5945,1517.5,3.9,835.0,114.81,6046.0,0.972,4.486,296.28613,48.22467,Kepler
K00756.02,4.13443512,172.97937,3.1402,686.0,2.77,1160.0,427.65,6046.0,0.972,4.486,296.28613,48.22467,Kepler
K00756.03,2.56658897,179.55437,2.429,226.5,1.59,1360.0,807.74,6046.0,0.972,4.486,296.28613,48.22467,Kepler
K00114.01,7.36178958,132.25053,5.022,233.7,39.21,1342.0,767.22,6227.0,1.958,3.986,298.86435,42.151569,Kepler
K00757.01,16.06864674,173.621937,3.5347,4914.3,5.76,600.0,30.75,5031.0,0.848,4.485,286.99948,48.37579,Kepler
K00001.01,2.470613377,122.763305,1.74319,14231.0,13.04,1339.0,761.46,5820.0,0.964,4.457,286.80847,49.316399,Kepler
K00002.01,2.204735417,121.3585417,3.88864,6674.7,16.1,2048.0,4148.92,6440.0,1.952,4.019,292.24728,47.969521,Kepler
K00010.01,3.522498429,121.1194228,3.19843,9145.7,14.59,1521.0,1264.67,6225.0,1.451,4.169,281.28812,42.45108,Kepler
K00112.02,3.709214104,133.98318,2.6302,131.1,1.16,1206.0,500.46,5833.0,1.022,4.407,295.64871,48.49556,Kepler
K00742.01,11.521446064,170.839688,3.6399,17984.0,150.51,753.0,75.88,5795.0,0.848,4.554,297.07993,47.597401,Kepler
K00743.01,19.40393776,172.484253,12.2155,8918.7,7.18,523.0,17.69,5043.0,0.68,4.591,289.25821,47.635319,Kepler
K00744.01,19.221388942,184.5521637,4.79843,74284.0,49.29,698.0,55.97,6117.0,0.947,4.496,295.81454,47.69035,Kepler
K00745.01,16.46983774,180.881761,9.4378,10479.0,7.94,595.0,29.61,5152.0,0.786,4.517,297.15442,47.668701,Kepler
K00746.01,9.27358173,173.258155,3.2875,1288.3,2.47,649.0,41.85,4856.0,0.696,4.583,288.13824,47.724449,Kepler
K00747.01,6.02930329,171.602959,1.5821,1912.7,2.85,678.0,50.04,4537.0,0.672,4.648,283.71088,47.86327,Kepler
K00748.01,2.696370652,170.73769,3.6129,397.9,1.58,1066.0,305.34,4989.0,0.819,4.504,283.76547,47.804298,Kepler
K00749.01,5.349553819,171.80694,3.0278,831.0,2.55,919.0,168.99,5185.0,0.91,4.44,292.37613,47.880989,Kepler
K00749.02,3.94105221,136.08662,2.5984,363.3,1.7,1018.0,253.15,5185.0,0.91,4.44,292.37613,47.880989,Kepler
K00749.03,8.10904807,132.8031,3.596,217.4,1.3,800.0,97.03,5185.0,0.91,4.44,292.37613,47.880989,Kepler
K00113.01,386.6030528,166.342079,6.8057,24927.0,41.5,297.0,1.84,5543.0,1.58,4.081,292.27374,37.671558,Kepler
K00750.01,21.67699193,171.53594,3.4555,857.2,2.95,530.0,18.64,4954.0,0.828,4.5,290.46512,47.92918,Kepler
K00751.01,4.99677968,171.74208,2.1717,934.7,2.78,917.0,166.95,5339.0,0.847,4.552,297.80826,47.946671,Kepler
K00769.01,4.280963604,171.89659,2.875,750.8,2.3,1012.0,247.87,5644.0,0.831,4.564,294.26581,49.314091,Kepler
K00770.01,1.50635409,170.998064,1.5155,2211.7,4.53,1452.0,1054.12,5714.0,0.831,4.563,295.66522,49.351009,Kepler
K00771.01,670.645531,209.04355,53.412,18091.0,14.14,196.0,0.35,5520.0,0.983,4.466,296.69861,49.316479,Kepler
K00772.01,61.2563628,173.83826,7.633,5123.3,39.87,505.0,15.43,6144.0,1.091,4.402,283.72592,49.479519,Kepler
K00773.01,38.3775486,172.82048,5.588,724.2,2.82,529.0,18.53,5481.0,1.036,4.369,291.72202,49.480869,Kepler
K00757.02,41.19725502,165.00404,4.6297,2213.9,3.86,439.0,8.76,5031.0,0.848,4.485,286.99948,48.37579,Kepler
K00757.03,6.252962249,171.30126,2.5819,1036.9,2.65,823.0,108.3,5031.0,0.848,4.485,286.99948,48.37579,Kepler
K00758.01,16.01308419,176.3608,3.2554,1121.9,3.1,593.0,29.31,5015.0,0.826,4.499,297.02563,48.478588,Kepler
K00759.01,32.62876672,194.1019,4.7971,1804.8,3.36,506.0,15.55,5586.0,0.798,4.56,285.71854,48.505859,Kepler
K00759.02,91.7732862,193.8378,6.473,652.0,2.12,359.0,3.92,5586.0,0.798,4.56,285.71854,48.505859,Kepler
K00760.01,4.959319244,172.2585292,2.22739,9802.0,12.21,1103.0,349.4,5712.0,1.082,4.359,292.16705,48.727589,Kepler
K00761.01,2.701287801,170.69579,3.3827,860.4,6.54,1222.0,527.81,5550.0,0.91,4.468,297.92365,48.777321,Kepler
K00762.01,4.49876511,171.34905,3.7362,460.0,2.1,1133.0,389.62,6075.0,0.969,4.486,298.45685,48.791592,Kepler
K00763.01,19.651209505,179.401981,5.2514,11766.0,12.42,730.0,67.03,6074.0,1.063,4.391,291.0939,48.933842,Kepler
K00115.01,5.412203927,133.143089,2.9472,601.6,2.94,1093.0,337.68,5779.0,1.087,4.339,287.88733,46.276241,Kepler
K00764.01,41.43958662,208.93203,10.5989,2793.1,5.5,516.0,16.72,5468.0,1.046,4.367,295.55505,49.017342,Kepler
K00765.01,8.35389523,171.63257,2.2514,1041.6,2.52,790.0,91.9,5592.0,0.787,4.582,285.49924,49.277351,Kepler
K00766.01,4.125543472,169.752585,3.1744,1487.3,4.43,1243.0,565.35,6174.0,1.103,4.417,291.93616,49.253979,Kepler
K00767.01,2.816504904,170.9676846,2.50587,16814.0,12.21,1219.0,521.13,5532.0,0.955,4.452,297.01547,49.225288,Kepler
K00768.01,33.93373447,186.67608,14.561,8503.7,7.34,430.0,8.11,5040.0,0.705,4.628,284.17233,49.360722,Kepler
K00786.01,3.689920099,170.36571,2.6557,426.7,1.89,1147.0,408.99,5880.0,0.917,4.518,291.62241,50.61824,Kepler
K00787.01,4.431238488,171.015,3.15,1010.9,3.25,1104.0,351.23,5714.0,1.015,4.428,295.81616,51.121738,Kepler
K00787.02,11.37936986,133.84992,2.6255,1023.5,3.95,806.0,99.68,5714.0,1.015,4.428,295.81616,51.121738,Kepler
K00788.01,26.39432897,176.05459,3.573,1510.9,3.07,489.0,13.49,5129.0,0.763,4.595,289.39972,51.25032,Kepler
K00116.01,13.57078281,136.279194,3.3539,511.7,2.64,785.0,89.61,5854.0,1.012,4.406,300.86398,44.337551,Kepler
K00115.02,7.12594387,139.00492,3.0014,192.4,1.79,997.0,233.31,5779.0,1.087,4.339,287.88733,46.276241,Kepler
K00774.01,7.442652004,169.9717797,2.3078,24446.0,15.03,967.0,206.78,6108.0,0.956,4.469,288.98682,49.733742,Kepler
K00775.01,16.38489988,172.72782,3.0249,1127.1,2.0,433.0,8.35,4126.0,0.615,4.661,286.73804,49.97575,Kepler
K00775.02,7.8774163,176.3759,2.0805,1306.1,2.16,553.0,22.18,4126.0,0.615,4.661,286.73804,49.97575,Kepler
K00775.03,36.4454001,151.60125,4.007,1122.3,1.99,332.0,2.88,4126.0,0.615,4.661,286.73804,49.97575,Kepler
K00776.01,3.728732147,171.793255,2.683,5226.5,6.02,1023.0,258.34,5497.0,0.809,4.577,290.78574,50.054119,Kepler
K00777.01,40.4195037,173.56469,3.362,6256.0,7.51,467.0,11.29,5446.0,0.781,4.507,294.31686,50.080231,Kepler
K00778.01,2.243380573,170.679233,1.1196,821.7,1.99,822.0,107.6,4149.0,0.564,4.698,285.17621,50.149818,Kepler
K00779.01,10.405998015,177.197466,6.5036,14489.0,11.23,833.0,113.94,5746.0,0.924,4.393,289.23553,50.241001,Kepler
K00780.01,2.337437946,171.761982,1.9982,971.2,2.34,1070.0,311.16,5005.0,0.765,4.595,293.83331,50.23035,Kepler
