planet_name,orbital_period,planet_radius,transit_depth,transit_duration,eq_temperature,insolation_flux,stellar_temp,stellar_radius,stellar_gravity,disposition,source
Kepler-227 b,9.48803557,2.26,615.8,2.9575,793.0,93.59,5455.0,0.927,4.467,2.0,Kepler
Kepler-227 c,54.4183827,2.83,874.8,4.507,443.0,9.11,5455.0,0.927,4.467,2.0,Kepler
,19.89913995,14.6,10829.0,1.7822,638.0,39.3,5853.0,0.868,4.544,1.0,Kepler
,1.736952453,33.46,8079.2,2.40641,1395.0,891.96,5805.0,0.791,4.564,0.0,Kepler
Kepler-664 b,2.525591777,2.75,603.3,1.6545,1406.0,926.16,6031.0,1.046,4.438,2.0,Kepler
Kepler-228 d,11.09432054,3.9,1517.5,4.5945,835.0,114.81,6046.0,0.972,4.486,2.0,Kepler
Kepler-228 c,4.13443512,2.77,686.0,3.1402,1160.0,427.65,6046.0,0.972,4.486,2.0,Kepler
Kepler-228 b,2.56658897,1.59,226.5,2.429,1360.0,807.74,6046.0,0.972,4.486,2.0,Kepler
,7.36178958,39.21,233.7,5.022,1342.0,767.22,6227.0,1.958,3.986,0.0,Kepler
Kepler-229 c,16.06864674,5.76,4914.3,3.5347,600.0,30.75,5031.0,0.848,4.485,2.0,Kepler
Kepler-1 b,2.470613377,13.04,14231.0,1.74319,1339.0,761.46,5820.0,0.964,4.457,2.0,Kepler
Kepler-2 b,2.204735417,16.1,6674.7,3.88864,2048.0,4148.92,6440.0,1.952,4.019,2.0,Kepler
Kepler-8 b,3.522498429,14.59,9145.7,3.19843,1521.0,1264.67,6225.0,1.451,4.169,2.0,Kepler
Kepler-466 c,3.709214104,1.16,131.1,2.6302,1206.0,500.46,5833.0,1.022,4.407,2.0,Kepler
,11.521446064,150.51,17984.0,3.6399,753.0,75.88,5795.0,0.848,4.554,0.0,Kepler
,19.40393776,7.18,8918.7,12.2155,523.0,17.69,5043.0,0.68,4.591,0.0,Kepler
,19.221388942,49.29,74284.0,4.79843,698.0,55.97,6117.0,0.947,4.496,0.0,Kepler
,16.46983774,7.94,10479.0,9.4378,595.0,29.61,5152.0,0.786,4.517,0.0,Kepler
Kepler-660 b,9.27358173,2.47,1288.3,3.2875,649.0,41.85,4856.0,0.696,4.583,2.0,Kepler
Kepler-661 b,6.02930329,2.85,1912.7,1.5821,678.0,50.04,4537.0,0.672,4.648,2.0,Kepler
,2.696370652,1.58,397.9,3.6129,1066.0,305.34,4989.0,0.819,4.504,0.0,Kepler
Kepler-226 c,5.349553819,2.55,831.0,3.0278,919.0,168.99,5185.0,0.91,4.44,2.0,Kepler
Kepler-226 b,3.94105221,1.7,363.3,2.5984,1018.0,253.15,5185.0,0.91,4.44,2.0,Kepler
Kepler-226 d,8.10904807,1.3,217.4,3.596,800.0,97.03,5185.0,0.91,4.44,2.0,Kepler
,386.6030528,41.5,24927.0,6.8057,297.0,1.84,5543.0,1.58,4.081,0.0,Kepler
Kepler-662 b,21.67699193,2.95,857.2,3.4555,530.0,18.64,4954.0,0.828,4.5,2.0,Kepler
Kepler-663 b,4.99677968,2.78,934.7,2.1717,917.0,166.95,5339.0,0.847,4.552,2.0,Kepler
Kepler-671 b,4.280963604,2.3,750.8,2.875,1012.0,247.87,5644.0,0.831,4.564,2.0,Kepler
,1.50635409,4.53,2211.7,1.5155,1452.0,1054.12,5714.0,0.831,4.563,0.0,Kepler
,670.645531,14.14,18091.0,53.412,196.0,0.35,5520.0,0.983,4.466,0.0,Kepler
,61.2563628,39.87,5123.3,7.633,505.0,15.43,6144.0,1.091,4.402,0.0,Kepler
Kepler-672 b,38.3775486,2.82,724.2,5.588,529.0,18.53,5481.0,1.036,4.369,2.0,Kepler
Kepler-229 d,41.19725502,3.86,2213.9,4.6297,439.0,8.76,5031.0,0.848,4.485,2.0,Kepler
