planet_name,transit_depth,transit_duration,eq_temperature,insolation_flux,planet_radius,stellar_temp,stellar_gravity,disposition
Kepler-227 b,615.8,2.9575,793.0,93.59,2.26,5455.0,4.467,2.0
Kepler-227 c,874.8,4.507,443.0,9.11,2.83,5455.0,4.467,2.0
Kepler-664 b,603.3,1.6545,1406.0,926.16,2.75,6031.0,4.438,2.0
Kepler-228 d,1517.5,4.5945,835.0,114.81,3.9,6046.0,4.486,2.0
Kepler-228 c,686.0,3.1402,1160.0,427.65,2.77,6046.0,4.486,2.0
Kepler-228 b,226.5,2.429,1360.0,807.74,1.59,6046.0,4.486,2.0
Kepler-229 c,4914.3,3.5347,600.0,30.75,5.76,5031.0,4.485,2.0
Kepler-1 b,14231.0,1.74319,1339.0,761.46,13.04,5820.0,4.457,2.0
Kepler-2 b,6674.7,3.88864,2048.0,4148.92,16.1,6440.0,4.019,2.0
Kepler-8 b,9145.7,3.19843,1521.0,1264.67,14.59,6225.0,4.169,2.0
Kepler-466 c,131.1,2.6302,1206.0,500.46,1.16,5833.0,4.407,2.0
Kepler-660 b,1288.3,3.2875,649.0,41.85,2.47,4856.0,4.583,2.0
Kepler-661 b,1912.7,1.5821,678.0,50.04,2.85,4537.0,4.648,2.0
Kepler-226 c,831.0,3.0278,919.0,168.99,2.55,5185.0,4.44,2.0
Kepler-226 b,363.3,2.5984,1018.0,253.15,1.7,5185.0,4.44,2.0
Kepler-226 d,217.4,3.596,800.0,97.03,1.3,5185.0,4.44,2.0
Kepler-662 b,857.2,3.4555,530.0,18.64,2.95,4954.0,4.5,2.0
Kepler-663 b,934.7,2.1717,917.0,166.95,2.78,5339.0,4.552,2.0
Kepler-671 b,750.8,2.875,1012.0,247.87,2.3,5644.0,4.564,2.0
Kepler-672 b,724.2,5.588,529.0,18.53,2.82,5481.0,4.369,2.0
Kepler-229 d,2213.9,4.6297,439.0,8.76,3.86,5031.0,4.485,2.0
Kepler-229 b,1036.9,2.5819,823.0,108.3,2.65,5031.0,4.485,2.0
Kepler-665 b,1121.9,3.2554,593.0,29.31,3.1,5015.0,4.499,2.0
Kepler-230 b,1804.8,4.7971,506.0,15.55,3.36,5586.0,4.56,2.0
Kepler-230 c,652.0,6.473,359.0,3.92,2.12,5586.0,4.56,2.0
Kepler-1976 b,9802.0,2.22739,1103.0,349.4,12.21,5712.0,4.359,2.0
Kepler-666 b,460.0,3.7362,1133.0,389.62,2.1,6075.0,4.486,2.0
Kepler-105 b,601.6,2.9472,1093.0,337.68,2.94,5779.0,4.339,2.0
Kepler-667 b,2793.1,10.5989,516.0,16.72,5.5,5468.0,4.367,2.0
Kepler-668 b,1041.6,2.2514,790.0,91.9,2.52,5592.0,4.582,2.0
Kepler-669 b,1487.3,3.1744,1243.0,565.35,4.43,6174.0,4.417,2.0
Kepler-670 b,16814.0,2.50587,1219.0,521.13,12.21,5532.0,4.452,2.0
Kepler-680 b,426.7,2.6557,1147.0,408.99,1.89,5880.0,4.518,2.0
Kepler-232 b,1010.9,3.15,1104.0,351.23,3.25,5714.0,4.428,2.0
Kepler-232 c,1023.5,2.6255,806.0,99.68,3.95,5714.0,4.428,2.0
Kepler-681 b,1510.9,3.573,489.0,13.49,3.07,5129.0,4.595,2.0
Kepler-106 c,511.7,3.3539,785.0,89.61,2.64,5854.0,4.406,2.0
Kepler-105 c,192.4,3.0014,997.0,233.31,1.79,5779.0,4.339,2.0
Kepler-52 c,1127.1,3.0249,433.0,8.35,2.0,4126.0,4.661,2.0
Kepler-52 b,1306.1,2.0805,553.0,22.18,2.16,4126.0,4.661,2.0
Kepler-52 d,1122.3,4.007,332.0,2.88,1.99,4126.0,4.661,2.0
Kepler-673 b,5226.5,2.683,1023.0,258.34,6.02,5497.0,4.577,2.0
Kepler-674 b,821.7,1.1196,822.0,107.6,1.99,4149.0,4.698,2.0
Kepler-675 b,971.2,1.9982,1070.0,311.16,2.34,5005.0,4.595,2.0
Kepler-676 b,2804.5,2.5237,396.0,5.82,2.65,3688.0,4.79,2.0
Kepler-677 b,2793.3,4.3084,1015.0,251.38,5.31,5992.0,4.415,2.0
Kepler-678 b,3001.0,7.5377,833.0,113.64,4.86,5485.0,4.556,2.0
Kepler-231 c,1219.8,2.7594,393.0,5.66,1.93,4077.0,4.702,2.0
Kepler-231 b,1053.3,1.369,488.0,13.43,1.91,4077.0,4.702,2.0
Kepler-679 b,916.6,3.8896,677.0,49.68,2.66,5557.0,4.603,2.0
Kepler-106 e,615.2,6.802,531.0,18.77,2.87,5854.0,4.406,2.0
Kepler-234 b,837.5,3.0099,1420.0,960.79,3.12,6214.0,4.442,2.0
Kepler-234 c,950.4,4.0491,1025.0,260.58,3.32,6214.0,4.442,2.0
Kepler-233 b,1123.5,2.7245,751.0,75.44,2.59,5354.0,4.587,2.0
Kepler-233 c,931.3,5.039,390.0,5.49,2.36,5354.0,4.587,2.0
Kepler-682 b,6105.6,5.1497,753.0,76.15,7.4,5795.0,4.508,2.0
Kepler-683 b,382.1,2.4282,1332.0,743.09,2.06,5519.0,4.35,2.0
Kepler-684 b,1304.0,2.0844,812.0,102.87,2.77,5653.0,4.656,2.0
Kepler-235 d,1494.7,3.3203,361.0,4.0,1.96,3950.0,4.754,2.0
Kepler-235 e,1394.7,4.758,273.0,1.32,1.83,3950.0,4.754,2.0
Kepler-106 d,104.0,5.351,649.0,41.94,1.31,5854.0,4.406,2.0
Kepler-235 c,520.8,2.186,494.0,14.05,1.2,3950.0,4.754,2.0
Kepler-688 b,8544.8,2.3111,1005.0,241.62,7.34,5557.0,4.592,2.0
Kepler-689 b,986.8,5.228,536.0,19.45,2.32,5395.0,4.615,2.0
Kepler-685 b,7969.0,2.38963,1579.0,1467.41,9.73,5539.0,4.322,2.0
Kepler-1727 b,1019.8,3.1449,757.0,77.75,2.57,5349.0,4.526,2.0
Kepler-30 d,10566.0,8.9302,308.0,2.14,8.9,5485.0,4.556,2.0
Kepler-106 b,55.8,3.262,1021.0,256.35,0.79,5854.0,4.406,2.0
Kepler-30 c,20280.0,6.6188,411.0,6.77,12.19,5485.0,4.556,2.0
Kepler-30 b,488.0,4.803,524.0,17.85,1.91,5485.0,4.556,2.0
Kepler-686 b,15044.0,1.9604,1539.0,1329.42,11.3,5934.0,4.491,2.0
Kepler-1728 b,1008.7,2.335,886.0,145.48,2.5,5170.0,4.574,2.0
Kepler-687 b,2105.5,4.0595,518.0,17.06,3.41,4905.0,4.544,2.0
Kepler-235 b,1632.6,1.9104,656.0,43.73,2.03,3950.0,4.754,2.0
Kepler-53 b,893.6,4.4056,701.0,57.13,3.12,5775.0,4.405,2.0
Kepler-107 c,140.7,4.1654,1262.0,598.74,1.7,5847.0,4.191,2.0
Kepler-53 d,418.0,4.793,870.0,135.66,2.76,5775.0,4.405,2.0
Kepler-53 c,993.0,5.794,550.0,21.71,4.02,5775.0,4.405,2.0
Kepler-428 b,22335.0,2.59959,975.0,213.12,11.58,5150.0,4.572,2.0
Kepler-690 b,2472.1,3.5957,964.0,204.39,5.52,5973.0,4.439,2.0
Kepler-236 c,1182.3,3.827,329.0,2.77,1.8,3747.0,4.728,2.0
Kepler-236 b,824.3,1.3421,469.0,11.39,1.82,3747.0,4.728,2.0
Kepler-691 b,1558.0,2.2736,460.0,10.55,2.1,3692.0,4.753,2.0
Kepler-107 e,430.2,6.0995,874.0,137.91,2.89,5847.0,4.191,2.0
Kepler-692 b,1175.4,4.3791,639.0,39.33,3.38,5601.0,4.41,2.0
Kepler-693 b,15337.0,3.3169,600.0,30.54,11.01,4986.0,4.496,2.0
Kepler-237 c,887.9,3.161,687.0,52.82,2.11,4861.0,4.574,2.0
Kepler-237 b,417.5,2.506,823.0,108.84,1.46,4861.0,4.574,2.0
Kepler-694 b,780.7,2.9721,914.0,165.33,2.44,5776.0,4.554,2.0
Kepler-695 b,10859.0,1.8411,1021.0,257.29,8.99,5035.0,4.519,2.0
Kepler-27 b,3081.4,3.897,610.0,32.67,5.0,5251.0,4.581,2.0
Kepler-107 d,50.0,4.377,1074.0,314.15,1.06,5847.0,4.191,2.0
Kepler-27 c,5073.8,5.176,481.0,12.61,6.5,5251.0,4.581,2.0
Kepler-238 e,3341.8,8.2183,731.0,67.65,7.89,5739.0,4.191,2.0
Kepler-238 d,504.6,6.7372,888.0,146.67,3.06,5739.0,4.191,2.0
Kepler-238 c,285.0,4.9843,1146.0,406.94,2.32,5739.0,4.191,2.0
Kepler-238 b,115.9,3.388,1642.0,1718.04,1.62,5739.0,4.191,2.0
Kepler-107 b,120.3,3.5797,1458.0,1066.86,1.53,5847.0,4.191,2.0
Kepler-238 f,370.3,7.159,568.0,24.64,2.67,5739.0,4.191,2.0
Kepler-239 b,1037.3,2.9076,616.0,33.99,2.35,4959.0,4.603,2.0
Kepler-239 c,862.7,3.57,366.0,4.22,2.37,4959.0,4.603,2.0
Kepler-240 c,875.4,2.6312,696.0,55.37,2.25,4768.0,4.536,2.0
Kepler-240 b,391.8,2.3421,864.0,132.08,1.48,4768.0,4.536,2.0
Kepler-702 b,9768.0,2.5211,713.0,61.16,8.24,5386.0,4.553,2.0
Kepler-703 b,3812.1,2.7055,1038.0,274.98,5.39,5815.0,4.54,2.0
Kepler-704 b,510.6,3.5176,1121.0,372.62,2.66,5653.0,4.472,2.0
Kepler-242 b,1024.4,2.9667,742.0,71.5,3.01,5015.0,4.499,2.0
Kepler-242 c,647.5,4.016,613.0,33.48,3.01,5015.0,4.499,2.0
Kepler-27 d,655.9,2.75,810.0,101.78,2.19,5251.0,4.581,2.0
Kepler-241 b,1149.4,3.0957,562.0,23.6,2.31,4702.0,4.592,2.0
Kepler-241 c,1563.8,4.3246,397.0,5.88,2.64,4702.0,4.592,2.0
Kepler-696 b,2877.4,2.8589,1234.0,547.9,6.21,6073.0,4.392,2.0
Kepler-697 b,2020.3,3.0694,1151.0,415.1,4.35,5727.0,4.463,2.0
Kepler-698 b,1187.5,6.271,727.0,66.08,3.75,5878.0,4.444,2.0
Kepler-699 b,25391.0,4.21587,554.0,22.24,13.84,5862.0,4.584,2.0
Kepler-700 b,3604.6,11.195,452.0,9.88,7.59,5510.0,4.222,2.0
Kepler-467 b,269.6,5.9409,712.0,60.88,2.29,5718.0,4.181,2.0
Kepler-701 b,750.6,3.1775,777.0,86.22,2.47,5501.0,4.462,2.0
Kepler-709 b,1442.4,3.984,613.0,33.43,3.68,5239.0,4.523,2.0
Kepler-245 b,1123.6,2.7297,753.0,76.06,2.56,5103.0,4.562,2.0
